,taxid,seasonality,curr,pnv,perc
0,15199, resident,15939061,22500528,0.708386088
2,15185, resident,6619506144,10578479712,0.625752124
3,1555, resident,936844432,996946120,0.939714206
4,10825, resident,36439612800,41311123072,0.882077515
5,10950, resident,1346484808,7353855649,0.183099162
9,13874, resident,3427484001,10815775285,0.316896747
10,12696, resident,42596799002,69720592828,0.610964383
11,10041, resident,61635009824,2.48145E+11,0.248383334
12,13038, resident,21296594920,22000814259,0.967991215
13,13873, resident,90056897696,2.29484E+11,0.392432898
14,15509, resident,3.65525E+11,6.14072E+11,0.595247041
16,15026, resident,74279525930,3.64805E+11,0.20361435
17,157269, resident,6.40635E+11,8.70176E+11,0.736212915
18,12775, resident,88148862916,1.01529E+11,0.868212138
19,157267, resident,7.18015E+11,1.46739E+12,0.489315783
20,14856, resident,4.99567E+11,6.04328E+11,0.826648437
21,157250, resident,4.25594E+11,6.6435E+11,0.64061774
24,157265, resident,1.03689E+12,1.17236E+12,0.884442384
27,15918, resident,35644741824,1.67006E+11,0.213433762
32,164564, resident,3.14631E+11,3.33809E+11,0.942547757
33,157279, resident,7.54287E+11,9.60523E+11,0.785287782
35,157268, resident,1.80476E+12,2.25283E+12,0.80110783
36,163414, resident,2.36374E+11,3.05779E+11,0.773022412
37,157295, resident,1.01042E+12,1.55149E+12,0.651257394
38,164571, resident,4.35841E+11,6.65369E+11,0.655035541
41,47113126, resident,1.11745E+12,2.56023E+12,0.436464326
42,164582, resident,2.5111E+11,2.60476E+11,0.964043031
43,164588, resident,5.15181E+11,6.94016E+11,0.742318346
45,157253, resident,1.00458E+12,1.43031E+12,0.702351859
46,164598, resident,1964601492,7441547776,0.264004418
48,164596, resident,4.38011E+11,4.71006E+11,0.929947204
49,157244, resident,4.35136E+11,6.85611E+11,0.634668899
50,157260, resident,2.53836E+12,2.82661E+12,0.898020367
52,164585, resident,1.12931E+12,1.16044E+12,0.973167441
54,157246, resident,1.75974E+11,5.49979E+11,0.319964535
56,164632, resident,1.35046E+11,1.42638E+11,0.94676995
57,164620, resident,6.37467E+11,6.65871E+11,0.957343432
59,164594, resident,6.993E+11,1.00425E+12,0.6963385
62,164637, resident,10845070842,37035768030,0.292826946
64,164580, resident,4.50129E+11,6.48598E+11,0.694003017
66,164646, resident,2.55879E+11,2.77195E+11,0.923101383
67,164640, resident,2.26954E+11,2.52427E+11,0.899086411
68,164599, resident,2.55458E+12,2.67209E+12,0.956022305
